שם רשות מקומית,שנה,"סה""כ חיוב ארנונה"
בועיינה-נוג'ידאת,2018,"11,092"
בועיינה-נוג'ידאת,2017,"10,599"
בועיינה-נוג'ידאת,2016,"9,911"
בועיינה-נוג'ידאת,2015,"9,396"
בוקעאתא,2019,"8,832"
בוקעאתא,2018,"8,331"
בוקעאתא,2017,"7,545"
בוקעאתא,2016,"7,391"
בוקעאתא,2015,"7,399"
ביר אל-מכסור,2019,"7,662"
ביר אל-מכסור,2018,"7,602"
ביר אל-מכסור,2017,"7,410"
ביר אל-מכסור,2016,"7,300"
ביר אל-מכסור,2015,"7,056"
בית אל,2019,"8,144"
בית אל,2018,"8,123"
בית אל,2017,"7,892"
בית אל,2016,"7,674"
בית אל,2015,"7,034"
בית אריה-עופרים,2019,"9,580"
בית אריה-עופרים,2018,"9,277"
בית אריה-עופרים,2017,"8,591"
בית אריה-עופרים,2016,..
בית אריה-עופרים,2015,"7,381"
בית ג'ן,2019,"16,311"
בית ג'ן,2018,"15,423"
בית ג'ן,2017,"14,260"
בית ג'ן,2016,"13,404"
בית ג'ן,2015,"12,516"
בית דגן,2019,"23,601"
בית דגן,2018,"23,530"
בית דגן,2017,"22,797"
בית דגן,2016,"22,084"
בית דגן,2015,"20,811"
בית שאן,2019,"51,975"
בית שאן,2018,"50,775"
בית שאן,2017,"50,122"
בית שאן,2016,"44,817"
בית שאן,2015,"44,017"
בית שמש,2019,"226,407"
בית שמש,2018,"218,396"
בית שמש,2017,"208,461"
בית שמש,2016,"194,845"
בית שמש,2015,"174,195"
ביתר עילית,2019,"53,818"
ביתר עילית,2018,"48,975"
ביתר עילית,2017,"44,146"
ביתר עילית,2016,"41,471"
ביתר עילית,2015,"36,834"
בני ברק,2019,"534,989"
בני ברק,2018,"505,217"
בני ברק,2017,"482,495"
בני ברק,2016,"459,936"
בני ברק,2015,"435,495"
"בני עי""ש",2019,"10,343"
"בני עי""ש",2018,"10,312"
"בני עי""ש",2017,"10,084"
"בני עי""ש",2016,"9,854"
"בני עי""ש",2015,"8,354"
בנימינה-גבעת עדה*,2019,"41,952"
בנימינה-גבעת עדה*,2018,"39,459"
בנימינה-גבעת עדה*,2017,"38,029"
בנימינה-גבעת עדה*,2016,"35,565"
בנימינה-גבעת עדה*,2015,"33,661"
"בסמ""ה",2019,"10,159"
"בסמ""ה",2018,"9,892"
"בסמ""ה",2017,"8,770"
"בסמ""ה",2016,"8,289"
"בסמ""ה",2015,"7,976"
בסמת טבעון,2019,"8,440"
בסמת טבעון,2018,"8,578"
בסמת טבעון,2017,"8,100"
בסמת טבעון,2016,"7,115"
בסמת טבעון,2015,"6,823"
בענה,2019,"10,864"
בענה,2018,"10,792"
בענה,2017,"10,307"
בענה,2016,"9,814"
בענה,2015,"9,555"
בת ים,2019,"418,951"
בת ים,2018,"407,010"
בת ים,2017,"388,004"
בת ים,2016,"373,111"
בת ים,2015,"364,473"
גבעת זאב,2019,"32,706"
גבעת זאב,2018,"31,433"
גבעת זאב,2017,"30,338"
גבעת זאב,2016,"26,766"
גבעת זאב,2015,"27,635"
גבעת שמואל,2019,"87,484"
גבעת שמואל,2018,"81,109"
גבעת שמואל,2017,"78,051"
גבעת שמואל,2016,"75,359"
גבעת שמואל,2015,"69,600"
גבעתיים,2019,"247,478"
גבעתיים,2018,"245,962"
גבעתיים,2017,"218,618"
גבעתיים,2016,"210,875"
גבעתיים,2015,"209,500"
ג'דיידה-מכר,2019,"27,605"
ג'דיידה-מכר,2018,"25,843"
ג'דיידה-מכר,2017,"25,011"
ג'דיידה-מכר,2016,"23,006"
ג'דיידה-מכר,2015,"22,494"
גדרה,2019,"64,697"
גדרה,2018,"63,480"
גדרה,2017,"59,167"
גדרה,2016,"55,869"
גדרה,2015,"50,441"
ג'ולס,2019,"10,636"
ג'ולס,2018,"10,965"
ג'ולס,2017,"9,863"
ג'ולס,2016,"9,718"
ג'ולס,2015,"7,570"
ג'לג'וליה,2019,"8,631"
ג'לג'וליה,2018,"8,444"
ג'לג'וליה,2017,"7,645"
ג'לג'וליה,2016,"7,193"
ג'לג'וליה,2015,"7,179"
גן יבנה,2019,"52,681"
גן יבנה,2018,"51,315"
גן יבנה,2017,"50,358"
גן יבנה,2016,"48,422"
גן יבנה,2015,"43,890"
גני תקווה,2019,"59,485"
גני תקווה,2018,"56,935"
גני תקווה,2017,"51,396"
גני תקווה,2016,"44,877"
גני תקווה,2015,"40,684"
ג'סר א-זרקא,2019,"12,632"
ג'סר א-זרקא,2018,-
ג'סר א-זרקא,2017,"12,419"
ג'סר א-זרקא,2016,..
ג'סר א-זרקא,2015,"11,642"
ג'ש (גוש חלב),2019,"3,928"
ג'ש (גוש חלב),2018,"3,890"
ג'ש (גוש חלב),2017,"3,727"
ג'ש (גוש חלב),2016,"3,621"
ג'ש (גוש חלב),2015,"3,402"
ג'ת,2019,"22,344"
ג'ת,2018,"22,017"
ג'ת,2017,"20,102"
ג'ת,2016,"18,786"
ג'ת,2015,"17,675"
דאלית אל-כרמל,2019,"41,019"
דאלית אל-כרמל,2018,"25,938"
דאלית אל-כרמל,2017,"24,479"
דאלית אל-כרמל,2016,"23,550"
דאלית אל-כרמל,2015,"22,063"
דבורייה,2019,"11,406"
דבורייה,2018,"11,431"
דבורייה,2017,"11,230"
דבורייה,2016,"11,056"
דבורייה,2015,"10,608"
דייר אל-אסד,2019,"12,135"
דייר אל-אסד,2018,"10,520"
דייר אל-אסד,2017,"10,093"
דייר אל-אסד,2016,"9,755"
דייר אל-אסד,2015,"9,104"
דייר חנא,2019,"15,131"
דייר חנא,2018,"14,691"
דייר חנא,2017,"13,726"
דייר חנא,2016,"12,851"
דייר חנא,2015,"12,160"
דימונה,2019,"86,666"
דימונה,2018,"84,785"
דימונה,2017,"79,217"
דימונה,2016,"77,135"
דימונה,2015,"74,010"
הוד השרון,2019,"270,443"
הוד השרון,2018,"258,904"
הוד השרון,2017,"237,046"
הוד השרון,2016,"223,769"
הוד השרון,2015,"207,979"
הר אדר,2019,"13,142"
הר אדר,2018,"13,026"
הר אדר,2017,"12,666"
הר אדר,2016,"12,225"
הר אדר,2015,"11,738"
הרצלייה,2019,"620,802"
הרצלייה,2018,"619,253"
הרצלייה,2017,"591,270"
הרצלייה,2016,"568,295"
הרצלייה,2015,"528,611"
זכרון יעקב,2019,"79,709"
זכרון יעקב,2018,"78,741"
זכרון יעקב,2017,"74,176"
זכרון יעקב,2016,"72,710"
זכרון יעקב,2015,"70,649"
זמר,2019,"9,942"
זמר,2018,"9,265"
זמר,2017,"9,206"
זמר,2016,"8,693"
זמר,2015,"8,250"
זרזיר,2019,"9,480"
זרזיר,2018,"9,236"
זרזיר,2017,"8,978"
זרזיר,2016,"8,842"
זרזיר,2015,"8,726"
חדרה,2019,"406,794"
חדרה,2018,"388,438"
חדרה,2017,"369,020"
חדרה,2016,"355,051"
חדרה,2015,"348,585"
חולון,2019,"706,470"
חולון,2018,"693,840"
חולון,2017,"658,572"
חולון,2016,"635,696"
חולון,2015,"620,536"
חורה,2019,"11,628"
חורה,2018,"11,644"
חורה,2017,"11,022"
חורה,2016,"10,609"
חורה,2015,"10,428"
חורפיש,2019,"10,345"
חורפיש,2018,"9,680"
חורפיש,2017,"9,554"
חורפיש,2016,"9,237"
חורפיש,2015,"9,423"
חיפה,2019,"1,570,808"
חיפה,2018,"1,519,159"
חיפה,2017,"1,548,819"
חיפה,2016,"1,559,040"
חיפה,2015,"1,510,872"
חצור הגלילית,2019,"24,433"
חצור הגלילית,2018,"24,125"
חצור הגלילית,2017,"23,049"
חצור הגלילית,2016,"23,463"
חצור הגלילית,2015,"22,314"
חריש,2019,"23,574"
חריש,2018,"13,177"
חריש,2017,"4,398"
חריש,2016,"1,929"
חריש,2015,"2,060"
טבריה,2019,"157,284"
טבריה,2018,"154,970"
טבריה,2017,"147,194"
טבריה,2016,"144,566"
טבריה,2015,"141,889"
טובא-זנגרייה,2019,..
טובא-זנגרייה,2018,"8,560"
טובא-זנגרייה,2017,"7,876"
טובא-זנגרייה,2016,"7,648"
טובא-זנגרייה,2015,"7,400"
טורעאן,2019,"22,008"
טורעאן,2018,"21,516"
טורעאן,2017,"20,888"
טורעאן,2016,"20,324"
טורעאן,2015,"19,238"
טייבה,2019,"64,241"
טייבה,2018,"64,141"
טייבה,2017,"64,234"
טייבה,2016,"59,837"
טייבה,2015,..
טירה,2019,"51,183"
טירה,2018,"46,441"
טירה,2017,"45,361"
טירה,2016,"44,376"
טירה,2015,"41,114"
טירת כרמל,2019,"77,496"
טירת כרמל,2018,"76,000"
טירת כרמל,2017,"69,992"
טירת כרמל,2016,"65,637"
טירת כרמל,2015,"63,758"
טמרה,2019,"55,162"
טמרה,2018,"53,673"
טמרה,2017,"51,034"
טמרה,2016,"47,050"
טמרה,2015,"44,020"
יאנוח-ג'ת,2019,"9,308"
יאנוח-ג'ת,2018,"8,886"
יאנוח-ג'ת,2017,"8,303"
יאנוח-ג'ת,2016,"7,978"
יאנוח-ג'ת,2015,"7,464"
יבנאל,2019,"9,812"
יבנאל,2018,"9,615"
יבנאל,2017,"9,354"
יבנאל,2016,"9,125"
יבנאל,2015,"8,478"
יבנה,2019,"195,132"
יבנה,2018,"189,633"
יבנה,2017,"180,866"
יבנה,2016,"173,923"
יבנה,2015,"162,555"
יהוד,2019,"133,616"
יהוד,2018,"133,180"
יהוד,2017,"123,753"
יהוד,2016,"119,561"
יהוד,2015,"116,461"
יסוד המעלה,2019,"30,503"
יסוד המעלה,2018,"28,780"
יסוד המעלה,2017,"24,784"
יסוד המעלה,2016,"23,497"
יסוד המעלה,2015,"22,701"
יפיע,2019,"25,947"
יפיע,2018,"25,149"
יפיע,2017,"24,655"
יפיע,2016,"23,752"
יפיע,2015,"22,547"
יקנעם עילית,2019,"91,995"
יקנעם עילית,2018,"85,512"
יקנעם עילית,2017,"80,994"
יקנעם עילית,2016,"75,135"
יקנעם עילית,2015,"70,982"
ירוחם,2019,"28,631"
ירוחם,2018,"25,327"
ירוחם,2017,"23,917"
ירוחם,2016,"21,703"
ירוחם,2015,"21,125"
ירושלים,2019,"3,039,085"
ירושלים,2018,"2,947,281"
ירושלים,2017,"2,829,046"
ירושלים,2016,"2,790,970"
ירושלים,2015,"2,696,780"
ירכא,2019,"32,019"
ירכא,2018,"32,115"
ירכא,2017,"28,257"
ירכא,2016,"27,587"
ירכא,2015,"24,819"
כאבול,2019,"18,856"
כאבול,2018,"18,042"
כאבול,2017,"17,261"
כאבול,2016,"16,235"
כאבול,2015,"15,084"
כאוכב אבו אל-היג'א,2019,"3,730"
כאוכב אבו אל-היג'א,2018,"3,533"
כאוכב אבו אל-היג'א,2017,"3,359"
כאוכב אבו אל-היג'א,2016,"3,214"
כאוכב אבו אל-היג'א,2015,"3,024"
כוכב יאיר,2019,"37,942"
כוכב יאיר,2018,"37,732"
כוכב יאיר,2017,"36,604"
כוכב יאיר,2016,"35,073"
כוכב יאיר,2015,"34,829"
כסיפה,2019,"6,586"
כסיפה,2018,"6,967"
כסיפה,2017,"6,832"
כסיפה,2016,"6,644"
כסיפה,2015,"6,683"
כסרא-סמיע,2019,"12,305"
כסרא-סמיע,2018,"11,759"
כסרא-סמיע,2017,"10,683"
כסרא-סמיע,2016,"10,119"
כסרא-סמיע,2015,"9,603"
כעביה-טבאש-חג'אג'רה,2019,"4,158"
כעביה-טבאש-חג'אג'רה,2018,"4,137"
כעביה-טבאש-חג'אג'רה,2017,"4,046"
כעביה-טבאש-חג'אג'רה,2016,"3,925"
כעביה-טבאש-חג'אג'רה,2015,"3,710"
כפר ברא,2019,"5,763"
כפר ברא,2018,"5,512"
כפר ברא,2017,"5,045"
כפר ברא,2016,"4,905"
כפר ברא,2015,"4,694"
כפר ורדים,2019,"20,556"
כפר ורדים,2018,"20,485"
כפר ורדים,2017,"19,559"
כפר ורדים,2016,"18,880"
כפר ורדים,2015,"18,285"
כפר יאסיף,2019,"19,371"
כפר יאסיף,2018,"19,095"
כפר יאסיף,2017,"18,211"
כפר יאסיף,2016,"17,386"
כפר יאסיף,2015,"16,822"
כפר יונה,2019,"51,153"
כפר יונה,2018,"41,248"
כפר יונה,2017,"37,232"
כפר יונה,2016,"35,411"
כפר יונה,2015,"33,860"
כפר כמא,2019,"4,809"
כפר כמא,2018,"4,711"
כפר כמא,2017,"4,513"
כפר כמא,2016,"4,433"
כפר כמא,2015,"4,489"
כפר כנא,2019,"33,309"
כפר כנא,2018,"32,843"
כפר כנא,2017,"31,795"
כפר כנא,2016,"31,374"
כפר כנא,2015,"30,102"
כפר מנדא,2019,"20,571"
כפר מנדא,2018,"19,837"
כפר מנדא,2017,"19,654"
כפר מנדא,2016,"18,052"
כפר מנדא,2015,"16,962"
כפר סבא,2019,"416,944"
כפר סבא,2018,"409,464"
כפר סבא,2017,"392,074"
כפר סבא,2016,"373,537"
כפר סבא,2015,"342,944"
כפר קאסם,2019,"61,717"
כפר קאסם,2018,"59,143"
כפר קאסם,2017,"54,883"
כפר קאסם,2016,"52,027"
כפר קאסם,2015,"46,071"
כפר קרע,2019,"25,843"
כפר קרע,2018,"25,063"
כפר קרע,2017,"24,171"
כפר קרע,2016,"23,338"
כפר קרע,2015,"19,893"
כפר שמריהו,2019,"20,041"
כפר שמריהו,2018,"19,905"
כפר שמריהו,2017,"19,205"
כפר שמריהו,2016,"18,292"
כפר שמריהו,2015,"17,176"
כפר תבור,2019,"15,562"
כפר תבור,2018,"15,083"
כפר תבור,2017,"14,210"
כפר תבור,2016,"13,654"
כפר תבור,2015,"11,546"
כרמיאל,2019,"186,563"
כרמיאל,2018,"186,045"
כרמיאל,2017,"176,960"
כרמיאל,2016,"171,220"
כרמיאל,2015,"168,087"
להבים,2019,"20,497"
להבים,2018,"20,005"
להבים,2017,"19,185"
להבים,2016,"18,921"
להבים,2015,"18,036"
לוד,2019,"237,095"
לוד,2018,"229,050"
לוד,2017,"209,410"
לוד,2016,"200,293"
לוד,2015,"197,632"
לקיה,2019,"6,507"
לקיה,2018,"6,476"
לקיה,2017,"6,336"
לקיה,2016,"4,540"
לקיה,2015,"4,557"
מבשרת ציון,2019,"82,506"
מבשרת ציון,2018,"81,842"
מבשרת ציון,2017,"79,196"
מבשרת ציון,2016,"72,056"
מבשרת ציון,2015,"69,818"
מגאר,2019,"32,709"
מגאר,2018,"34,061"
מגאר,2017,"24,752"
מגאר,2016,"24,302"
מגאר,2015,"23,628"
מג'ד אל-כרום,2019,"20,760"
מג'ד אל-כרום,2018,"20,760"
מג'ד אל-כרום,2017,"19,527"
מג'ד אל-כרום,2016,"18,174"
מג'ד אל-כרום,2015,"17,532"
מגדל,2019,"6,361"
מגדל,2018,"6,174"
מגדל,2017,"6,050"
מגדל,2016,"5,964"
מגדל,2015,"5,888"
מגדל העמק,2019,"91,025"
מגדל העמק,2018,"88,796"
מגדל העמק,2017,"86,656"
מגדל העמק,2016,"83,752"
מגדל העמק,2015,"78,205"
מג'דל שמס,2019,"17,590"
מג'דל שמס,2018,"14,748"
מג'דל שמס,2017,"14,512"
מג'דל שמס,2016,"14,569"
מג'דל שמס,2015,"23,280"
מודיעין עילית,2019,"50,428"
מודיעין עילית,2018,"47,150"
מודיעין עילית,2017,"44,362"
מודיעין עילית,2016,"41,956"
מודיעין עילית,2015,"44,208"
מודיעין-מכבים-רעות*,2019,"289,502"
מודיעין-מכבים-רעות*,2018,"275,828"
מודיעין-מכבים-רעות*,2017,"255,531"
מודיעין-מכבים-רעות*,2016,"240,324"
מודיעין-מכבים-רעות*,2015,"230,284"
מזכרת בתיה,2019,"30,500"
מזכרת בתיה,2018,"29,063"
מזכרת בתיה,2017,"28,845"
מזכרת בתיה,2016,"36,858"
מזכרת בתיה,2015,"36,125"
מזרעה,2019,"5,014"
מזרעה,2018,"4,979"
מזרעה,2017,"4,683"
מזרעה,2016,"4,463"
מזרעה,2015,"4,382"
מטולה,2019,"6,516"
מטולה,2018,"6,386"
מטולה,2017,"6,266"
מטולה,2016,"6,266"
מטולה,2015,"5,744"
מיתר,2019,"30,178"
מיתר,2018,"26,631"
מיתר,2017,"24,818"
מיתר,2016,"23,521"
מיתר,2015,"23,360"
מסעדה,2019,"5,298"
מסעדה,2018,"5,342"
מסעדה,2017,"5,052"
מסעדה,2016,"4,909"
מסעדה,2015,"4,725"
מעיליא,2019,"6,709"
מעיליא,2018,"6,783"
מעיליא,2017,"6,369"
מעיליא,2016,"6,012"
מעיליא,2015,"5,707"
מעלה אדומים,2019,"111,563"
מעלה אדומים,2018,"103,268"
מעלה אדומים,2017,"97,202"
מעלה אדומים,2016,"90,995"
מעלה אדומים,2015,"87,718"
מעלה אפרים,2019,"3,173"
מעלה אפרים,2018,"2,996"
מעלה אפרים,2017,"2,934"
מעלה אפרים,2016,"2,855"
מעלה אפרים,2015,"2,741"
מעלה עירון,2019,"18,975"
מעלה עירון,2018,"19,050"
מעלה עירון,2017,"18,748"
מעלה עירון,2016,"18,537"
מעלה עירון,2015,"13,553"
מעלות-תרשיחא,2019,"56,644"
מעלות-תרשיחא,2018,"55,697"
מעלות-תרשיחא,2017,"54,059"
מעלות-תרשיחא,2016,"52,540"
מעלות-תרשיחא,2015,"51,490"
מצפה רמון,2019,"29,526"
מצפה רמון,2018,"29,057"
מצפה רמון,2017,"28,579"
מצפה רמון,2016,"27,308"
מצפה רמון,2015,"26,220"
משהד,2019,"10,642"
משהד,2018,"10,814"
משהד,2017,"8,374"
משהד,2016,"8,375"
משהד,2015,"8,053"
נהרייה,2019,"201,402"
נהרייה,2018,"196,079"
נהרייה,2017,"187,521"
נהרייה,2016,"180,560"
נהרייה,2015,"166,752"
נוף הגליל,2019,"159,254"
נוף הגליל,2018,"152,990"
נוף הגליל,2017,"147,826"
נוף הגליל,2016,"139,161"
נוף הגליל,2015,"141,525"
נחף,2019,"12,872"
נחף,2018,"12,884"
נחף,2017,"11,784"
נחף,2016,"11,130"
נחף,2015,"10,471"
נס ציונה,2019,"182,412"
נס ציונה,2018,"177,770"
נס ציונה,2017,"162,816"
נס ציונה,2016,"159,821"
נס ציונה,2015,"149,864"
נצרת,2019,..
נצרת,2018,"120,175"
נצרת,2017,"123,774"
נצרת,2016,"129,187"
נצרת,2015,"120,709"
נשר,2019,"102,173"
נשר,2018,"97,854"
נשר,2017,"95,565"
נשר,2016,"90,276"
נשר,2015,"85,460"
נתיבות,2019,"59,275"
נתיבות,2018,"54,697"
נתיבות,2017,"51,989"
נתיבות,2016,"48,228"
נתיבות,2015,"43,741"
נתניה,2019,"851,423"
נתניה,2018,"824,162"
נתניה,2017,"782,491"
נתניה,2016,"752,884"
נתניה,2015,"723,187"
סאג'ור,2019,"6,016"
סאג'ור,2018,"5,105"
סאג'ור,2017,"5,013"
סאג'ור,2016,"5,046"
סאג'ור,2015,"4,705"
סביון*,2019,"31,077"
סביון*,2018,"30,800"
סביון*,2017,"28,940"
סביון*,2016,"26,511"
סביון*,2015,"25,642"
סח'נין,2019,"54,663"
סח'נין,2018,"46,988"
סח'נין,2017,"45,418"
סח'נין,2016,"43,160"
סח'נין,2015,"40,695"
ע'ג'ר,2019,"2,265"
ע'ג'ר,2018,"2,167"
ע'ג'ר,2017,"2,093"
ע'ג'ר,2016,"1,993"
ע'ג'ר,2015,"1,971"
עומר,2019,"38,270"
עומר,2018,"37,423"
עומר,2017,"35,914"
עומר,2016,"34,855"
עומר,2015,"33,399"
עיילבון,2019,"9,866"
עיילבון,2018,"9,895"
עיילבון,2017,"9,478"
עיילבון,2016,"8,890"
עיילבון,2015,"8,135"
עילוט,2019,"13,347"
עילוט,2018,"13,078"
עילוט,2017,"11,903"
עילוט,2016,"10,757"
עילוט,2015,"9,602"
עין מאהל,2019,"16,038"
עין מאהל,2018,"15,538"
עין מאהל,2017,"14,627"
עין מאהל,2016,"14,147"
עין מאהל,2015,..
עין קנייא,2019,"3,025"
עין קנייא,2018,"2,944"
עין קנייא,2017,"2,784"
עין קנייא,2016,"2,669"
עין קנייא,2015,"2,507"
עכו,2019,"168,704"
עכו,2018,"166,622"
עכו,2017,"150,936"
עכו,2016,"140,120"
עכו,2015,"134,534"
עמנואל,2019,"7,905"
עמנואל,2018,"6,807"
עמנואל,2017,"6,359"
עמנואל,2016,"5,934"
עמנואל,2015,"5,909"
עספיא,2019,"21,802"
עספיא,2018,"21,704"
עספיא,2017,"21,247"
עספיא,2016,"21,884"
עספיא,2015,"17,952"
עפולה,2019,"198,721"
עפולה,2018,"193,522"
עפולה,2017,-
עפולה,2016,"162,714"
עפולה,2015,"155,171"
עראבה,2019,"33,604"
עראבה,2018,"32,733"
עראבה,2017,"31,362"
עראבה,2016,"29,434"
עראבה,2015,"28,411"
ערד,2019,"64,852"
ערד,2018,"64,057"
ערד,2017,"63,404"
ערד,2016,"61,283"
ערד,2015,"60,442"
ערערה,2019,"29,684"
ערערה,2018,"29,601"
ערערה,2017,"29,920"
ערערה,2016,"30,854"
ערערה,2015,..
ערערה-בנגב,2019,"11,389"
ערערה-בנגב,2018,"8,979"
ערערה-בנגב,2017,"8,829"
ערערה-בנגב,2016,"8,606"
ערערה-בנגב,2015,"8,517"
פוריידיס,2019,"11,837"
פוריידיס,2018,"11,771"
פוריידיס,2017,"11,423"
פוריידיס,2016,..
פוריידיס,2015,..
פסוטה,2019,"4,427"
פסוטה,2018,"4,403"
פסוטה,2017,"4,403"
פסוטה,2016,"4,037"
פסוטה,2015,"3,939"
פקיעין (בוקייעה),2019,"9,535"
פקיעין (בוקייעה),2018,"9,115"
פקיעין (בוקייעה),2017,"8,827"
פקיעין (בוקייעה),2016,"8,317"
פקיעין (בוקייעה),2015,"8,128"
פרדס חנה-כרכור,2019,"116,009"
פרדס חנה-כרכור,2018,"107,078"
פרדס חנה-כרכור,2017,"101,133"
פרדס חנה-כרכור,2016,"95,145"
פרדס חנה-כרכור,2015,"91,498"
פרדסייה,2019,"15,721"
פרדסייה,2018,"14,979"
פרדסייה,2017,"14,453"
פרדסייה,2016,"13,940"
פרדסייה,2015,"13,267"
פתח תקווה,2019,"1,235,303"
פתח תקווה,2018,"1,223,433"
פתח תקווה,2017,"1,157,317"
פתח תקווה,2016,"1,115,140"
פתח תקווה,2015,"1,098,527"
צפת,2019,"79,393"
צפת,2018,"79,183"
צפת,2017,"75,994"
צפת,2016,"72,875"
צפת,2015,"71,365"
קדומים,2019,"8,318"
קדומים,2018,"9,091"
קדומים,2017,"7,686"
קדומים,2016,"7,394"
קדומים,2015,"7,068"
קדימה-צורן,2019,"61,058"
קדימה-צורן,2018,"59,962"
קדימה-צורן,2017,"57,382"
קדימה-צורן,2016,"55,837"
קדימה-צורן,2015,"53,033"
קלנסווה,2019,"23,397"
קלנסווה,2018,"23,543"
קלנסווה,2017,"22,765"
קלנסווה,2016,"22,272"
קלנסווה,2015,"19,669"
קצרין,2019,"19,004"
קצרין,2018,"18,497"
קצרין,2017,"17,967"
קצרין,2016,"17,635"
קצרין,2015,"16,860"
קריית אונו,2019,"145,694"
קריית אונו,2018,"141,785"
קריית אונו,2017,"134,047"
קריית אונו,2016,"129,155"
קריית אונו,2015,"122,943"
קריית ארבע,2019,"9,919"
קריית ארבע,2018,"10,761"
קריית ארבע,2017,"10,588"
קריית ארבע,2016,"10,204"
קריית ארבע,2015,"9,933"
קריית אתא,2019,"196,863"
קריית אתא,2018,"192,561"
קריית אתא,2017,"184,824"
קריית אתא,2016,"179,443"
קריית אתא,2015,"165,119"
קריית ביאליק,2019,"158,638"
קריית ביאליק,2018,"156,591"
קריית ביאליק,2017,"147,321"
קריית ביאליק,2016,"142,868"
קריית ביאליק,2015,"138,236"
קריית גת,2019,"179,293"
קריית גת,2018,"168,226"
קריית גת,2017,"163,171"
קריית גת,2016,"155,080"
קריית גת,2015,"156,138"
קריית טבעון,2019,"67,846"
קריית טבעון,2018,"67,258"
קריית טבעון,2017,"63,695"
קריית טבעון,2016,"61,698"
קריית טבעון,2015,"60,699"
קריית ים,2019,"104,388"
קריית ים,2018,"82,762"
קריית ים,2017,"79,574"
קריית ים,2016,"78,770"
קריית ים,2015,"74,644"
קריית יערים,2019,"7,878"
