שם רשות מקומית,שנה,רכב פרטי
בני דרור,2019,538
בני יהודה,2015,384
בני יהודה,2016,401
בני יהודה,2017,421
בני יהודה,2018,432
בני יהודה,2019,459
בני נצרים,2015,74
בני נצרים,2016,97
בני נצרים,2017,115
בני נצרים,2018,125
בני נצרים,2019,140
בני עטרות,2015,349
בני עטרות,2016,357
בני עטרות,2017,391
בני עטרות,2018,397
בני עטרות,2019,396
"בני עי""ש",2015,"2,546"
"בני עי""ש",2016,"2,635"
"בני עי""ש",2017,"2,780"
"בני עי""ש",2018,"2,949"
"בני עי""ש",2019,"26,068"
בני ציון,2015,562
בני ציון,2016,599
בני ציון,2017,604
בני ציון,2018,623
בני ציון,2019,628
בני ראם,2015,398
בני ראם,2016,426
בני ראם,2017,434
בני ראם,2018,450
בני ראם,2019,474
בניה,2015,346
בניה,2016,381
בניה,2017,387
בניה,2018,392
בניה,2019,379
בנימינה-גבעת עדה,2015,"4,629"
בנימינה-גבעת עדה,2016,"4,920"
בנימינה-גבעת עדה,2017,"5,187"
בנימינה-גבעת עדה,2018,"5,274"
בנימינה-גבעת עדה,2019,"5,435"
"בסמ""ה",2015,"2,397"
"בסמ""ה",2016,"2,615"
"בסמ""ה",2017,"2,851"
"בסמ""ה",2018,"3,082"
"בסמ""ה",2019,"3,406"
בסמת טבעון,2015,"1,887"
בסמת טבעון,2016,"2,089"
בסמת טבעון,2017,"2,246"
בסמת טבעון,2018,"2,301"
בסמת טבעון,2019,"2,358"
בענה,2015,"1,976"
בענה,2016,"2,133"
בענה,2017,"2,342"
בענה,2018,"2,477"
בענה,2019,"2,634"
בצרה,2015,481
בצרה,2016,490
בצרה,2017,509
בצרה,2018,543
בצרה,2019,545
בצת,2015,134
בצת,2016,146
בצת,2017,153
בצת,2018,158
בצת,2019,157
בקוע,2015,228
בקוע,2016,251
בקוע,2017,275
בקוע,2018,292
בקוע,2019,320
בקעות,2015,79
בקעות,2016,91
בקעות,2017,87
בקעות,2018,84
בקעות,2019,83
בר גיורא,2015,215
בר גיורא,2016,224
בר גיורא,2017,232
בר גיורא,2018,233
בר גיורא,2019,238
בר יוחאי,2015,211
בר יוחאי,2016,230
בר יוחאי,2017,243
בר יוחאי,2018,264
בר יוחאי,2019,285
ברוכין,2015,125
ברוכין,2016,151
ברוכין,2017,180
ברוכין,2018,211
ברוכין,2019,243
ברור חיל,2015,259
ברור חיל,2016,277
ברור חיל,2017,322
ברור חיל,2018,344
ברור חיל,2019,362
ברוש,2015,134
ברוש,2016,144
ברוש,2017,157
ברוש,2018,170
ברוש,2019,197
ברכה,2015,345
ברכה,2016,346
ברכה,2017,399
ברכה,2018,435
ברכה,2019,462
ברכיה,2015,297
ברכיה,2016,326
ברכיה,2017,357
ברכיה,2018,377
ברכיה,2019,376
ברעם,2015,177
ברעם,2016,187
ברעם,2017,197
ברעם,2018,200
ברעם,2019,214
ברק,2015,155
ברק,2016,164
ברק,2017,174
ברק,2018,177
ברק,2019,173
ברקאי,2015,156
ברקאי,2016,172
ברקאי,2017,176
ברקאי,2018,191
ברקאי,2019,190
ברקן,2015,643
ברקן,2016,699
ברקן,2017,753
ברקן,2018,801
ברקן,2019,858
ברקת,2015,416
ברקת,2016,454
ברקת,2017,483
ברקת,2018,504
ברקת,2019,527
בת הדר,2015,227
בת הדר,2016,260
בת הדר,2017,277
בת הדר,2018,301
בת הדר,2019,311
בת חן,2015,208
בת חן,2016,217
בת חן,2017,221
בת חן,2018,224
בת חן,2019,235
בת חפר,2015,"1,812"
בת חפר,2016,"1,935"
בת חפר,2017,"2,012"
בת חפר,2018,"2,083"
בת חפר,2019,"2,178"
בת ים,2015,"30,060"
בת ים,2016,"31,043"
בת ים,2017,"31,844"
בת ים,2018,"32,533"
בת ים,2019,"33,233"
בת עין,2015,283
בת עין,2016,279
בת עין,2017,310
בת עין,2018,340
בת עין,2019,358
בת שלמה,2015,215
